		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
21.03.24	0:05	5.4	5.4	5.4	93	4.3	4.5	E	1.34	6.7	E	2.0	5.4	2.0	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.6	75	6.3	10.3	14.77	1.2346	0.00	116	1	100.0	5
21.03.24	0:10	5.4	5.4	5.3	93	4.3	4.0	E	1.21	5.8	E	2.3	5.4	2.3	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.6	75	6.3	10.3	14.77	1.2346	0.00	117	1	100.0	5
21.03.24	0:15	5.3	5.4	5.3	93	4.3	4.0	E	1.21	5.4	E	2.2	5.3	2.2	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.6	75	6.3	10.3	14.77	1.2347	0.00	117	1	100.0	5
21.03.24	0:20	5.3	5.3	5.3	93	4.3	4.5	E	1.34	7.2	E	1.9	5.3	1.9	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.6	75	6.3	10.3	14.77	1.2347	0.00	117	1	100.0	5
21.03.24	0:25	5.3	5.3	5.3	93	4.3	4.0	E	1.21	5.8	E	2.2	5.3	2.2	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.5	75	6.3	10.3	14.77	1.2351	0.00	118	1	100.0	5
21.03.24	0:30	5.3	5.3	5.3	93	4.2	4.5	E	1.34	6.3	E	1.9	5.3	1.9	---	1014.6	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.5	75	6.3	10.3	14.77	1.2351	0.00	117	1	100.0	5
21.03.24	0:35	5.3	5.3	5.3	93	4.2	4.5	E	1.34	6.7	E	1.9	5.3	1.9	---	1014.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.4	75	6.2	10.2	14.77	1.2353	0.00	117	1	100.0	5
21.03.24	0:40	5.3	5.3	5.3	93	4.2	4.0	E	1.21	5.8	ENE	2.2	5.3	2.2	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.4	75	6.2	10.2	14.77	1.2355	0.00	117	1	100.0	5
21.03.24	0:45	5.3	5.3	5.3	93	4.2	4.0	E	1.21	5.8	E	2.2	5.3	2.2	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.045	0.000	10.4	75	6.2	10.2	14.77	1.2355	0.00	117	1	100.0	5
21.03.24	0:50	5.2	5.3	5.2	93	4.2	4.0	E	1.21	5.4	ESE	2.1	5.2	2.1	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.2	10.2	14.77	1.2356	0.00	117	1	100.0	5
21.03.24	0:55	5.2	5.3	5.2	93	4.2	4.0	E	1.21	6.3	ESE	2.1	5.2	2.1	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.2	10.2	14.77	1.2356	0.00	117	1	100.0	5
21.03.24	1:00	5.2	5.2	5.2	93	4.1	4.0	E	1.21	5.8	ENE	2.1	5.2	2.1	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.1	10.2	14.76	1.2360	0.00	117	1	100.0	5
21.03.24	1:05	5.1	5.2	5.1	93	4.1	4.0	E	1.21	6.7	ENE	1.9	5.1	1.9	---	1014.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.1	10.2	14.76	1.2360	0.00	117	1	100.0	5
21.03.24	1:10	5.1	5.2	5.1	93	4.0	5.4	E	1.61	8.0	E	1.2	5.1	1.2	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.1	10.2	14.76	1.2359	0.00	117	1	100.0	5
21.03.24	1:15	5.1	5.1	5.0	93	4.0	4.9	E	1.48	7.6	E	1.4	5.1	1.4	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.4	75	6.1	10.2	14.76	1.2360	0.00	117	1	100.0	5
21.03.24	1:20	5.1	5.1	5.1	93	4.1	4.5	E	1.34	6.3	E	1.7	5.1	1.7	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.3	75	6.1	10.2	14.76	1.2363	0.00	117	1	100.0	5
21.03.24	1:25	5.1	5.1	5.1	93	4.0	4.5	ENE	1.34	6.3	NE	1.6	5.1	1.6	---	1015.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.3	75	6.1	10.2	14.76	1.2364	0.00	117	1	100.0	5
21.03.24	1:30	5.0	5.1	5.0	93	4.0	4.5	E	1.34	6.7	ESE	1.6	5.0	1.6	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.3	75	6.1	10.2	14.76	1.2363	0.00	118	1	100.0	5
21.03.24	1:35	4.9	5.0	4.9	93	3.9	4.5	E	1.34	6.7	ESE	1.5	4.9	1.5	---	1014.9	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.046	0.000	10.3	75	6.1	10.2	14.76	1.2362	0.00	117	1	100.0	5
21.03.24	1:40	4.9	4.9	4.8	93	3.9	4.9	E	1.48	6.7	ESE	1.2	4.9	1.2	---	1015.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	10.3	75	6.1	10.2	14.76	1.2364	0.00	117	1	100.0	5
21.03.24	1:45	4.8	4.9	4.8	92	3.6	4.5	E	1.34	7.6	E	1.3	4.8	1.3	---	1015.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.047	0.000	10.3	75	6.0	10.1	14.76	1.2368	0.00	117	1	100.0	5
21.03.24	2:30	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	---	------	0.00	0.0	---	---	---	---	---	---	---	---	---	---	---	---	---	---	0.00	0	1	0.0	5
21.03.24	2:35	5.9	5.9	5.8	83	3.2	2.7	NNW	0.80	4.9	NNE	3.8	5.8	3.7	---	1020.2	0.00	0.0	271	1.94	272	1.3	0.05	1.3	0.043	0.000	10.7	73	6.0	10.4	14.20	1.2413	0.00	116	1	100.0	5
21.03.24	2:40	5.8	5.9	5.8	83	3.2	3.1	N	0.94	4.9	NNW	3.4	5.7	3.3	---	1020.1	0.00	0.0	275	1.97	285	1.4	0.05	1.4	0.043	0.000	10.6	73	6.0	10.3	14.19	1.2416	0.00	117	1	100.0	5
21.03.24	2:45	5.8	5.9	5.8	83	3.2	3.1	N	0.94	5.4	N	3.4	5.7	3.3	---	1020.1	0.00	0.0	321	2.30	378	1.5	0.05	1.6	0.043	0.000	10.7	73	6.0	10.4	14.20	1.2413	0.00	117	1	100.0	5
21.03.24	2:50	5.9	5.9	5.8	83	3.2	2.7	NNW	0.80	5.4	N	3.8	5.8	3.7	---	1020.1	0.00	0.0	309	2.21	390	1.4	0.05	1.6	0.043	0.000	10.7	73	6.0	10.4	14.20	1.2413	0.00	117	1	100.0	5
21.03.24	2:55	5.9	6.0	5.9	82	3.0	2.2	NNW	0.67	4.5	N	4.2	5.8	4.1	---	1020.2	0.00	0.0	264	1.89	278	1.3	0.05	1.3	0.043	0.000	10.7	73	6.1	10.4	14.20	1.2411	0.00	117	1	100.0	5
21.03.24	3:00	5.8	5.9	5.8	82	3.0	3.1	NNW	0.94	4.9	NNW	3.4	5.7	3.3	---	1020.2	0.00	0.0	248	1.78	250	1.2	0.04	1.2	0.043	0.000	10.7	73	6.1	10.4	14.20	1.2411	0.10	117	1	100.0	5
21.03.24	15:40	5.8	5.9	5.8	82	3.0	3.1	NNW	0.94	6.7	NW	3.4	5.7	3.3	---	1020.2	0.00	0.0	243	1.74	253	1.1	0.04	1.2	0.043	0.000	10.7	73	6.1	10.4	14.20	1.2411	0.00	112	1	98.2	5
21.03.24	15:45	5.9	5.9	5.8	82	3.0	3.1	NNW	0.94	4.9	NNW	3.5	5.8	3.4	---	1020.2	0.00	0.0	258	1.85	260	1.2	0.04	1.2	0.043	0.000	10.8	73	6.1	10.5	14.21	1.2408	0.00	117	1	100.0	5
21.03.24	15:50	5.8	5.9	5.8	82	3.0	3.1	NNW	0.94	4.9	NNW	3.4	5.7	3.3	---	1020.2	0.00	0.0	278	1.99	285	1.3	0.05	1.3	0.043	0.000	10.8	73	6.1	10.5	14.21	1.2408	0.00	118	1	100.0	5
21.03.24	15:55	5.8	5.8	5.7	82	2.9	3.6	NNW	1.07	5.4	NNW	3.1	5.7	2.9	---	1020.2	0.00	0.0	295	2.11	327	1.2	0.04	1.3	0.044	0.000	10.8	73	6.1	10.5	14.21	1.2408	0.00	117	1	100.0	5
